Day,Worktime,isWorkDay,pause
'2022-03-01',8.0,1,0
'2022-03-02',8.3119448591,1,0
'2022-03-03',8.5,1,0
'2022-03-04',9.033333535119891,1,0
'2022-03-07',8.085000038146973,1,0
'2022-03-09',9.08833312616,1,0
'2022-03-10',9.49055540725,1,0
'2022-03-11',7.933055400848389,1,0
'2022-03-11',9.59583318233,1,0
'2022-03-14',8.15638875961,1,0
'2022-03-15',10.000277519226074,1,0
'2022-03-16',8.414999961853027,1,0
'2022-03-17',6.983889102935791,1,0
'2022-03-18',8.421388626098633,1,0
'2022-03-21',7.90722227097,1,0
'2022-03-22',8.119999885559082,1,0
'2022-03-23',7.575833320617676,1,0
'2022-03-24',8.724721908569336,1,0
'2022-03-25',7.67888879776001,1,0
